ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3	GroundTruth
Tcp10a	1.81279	1.72935	1.98691	2.01217	1.94585	1.72075	1.86433	2.08836	1.78514	2.03754	2.00897	2.00528	1.93589	1.98258	2.06629	2.07558	1.90077	1.95688	0
Tagap	2.54549	2.74522	2.57939	2.68633	2.51957	2.7535	2.82698	2.68602	2.8317	2.99803	2.43491	2.50314	2.81866	2.86329	2.54187	2.74035	2.52582	2.46271	0
Rsph3a	2.64739	2.54999	2.63794	2.60309	2.63782	2.64074	2.60485	2.4984	2.60249	2.51762	2.66124	2.51272	2.56941	2.54013	2.64651	2.49712	2.50265	2.6024	0
Fgfr1op	2.74927	2.73724	2.71264	2.61903	2.73056	2.63034	2.6674	2.70495	2.57096	2.56687	2.72589	2.74285	2.58844	2.71135	2.72007	2.68006	2.76778	2.69758	0
Ccr6	2.01935	2.09583	2.17184	1.97025	2.05191	2.04753	2.25662	1.99992	2.28104	2.45025	2.1445	2.15022	2.14308	2.28871	2.03929	2.22955	2.06129	2.10929	0
Gm8465	2.41097	2.40679	2.47885	2.32968	2.50977	2.4949	2.4959	2.5479	2.38437	2.49464	2.54929	2.54467	2.50563	2.54077	2.48949	2.62648	2.52567	2.48242	0
Brp44l_dup1	2.8828	2.91253	2.92975	2.85774	2.92853	2.89068	2.90999	2.90327	2.89558	2.88743	2.8978	2.8909	2.87571	2.85751	2.89774	2.86408	2.87921	2.8788	0
Sft2d1_dup1	3.10261	3.11305	3.09796	3.10176	3.13905	3.14513	3.15326	3.0916	3.12794	3.1352	3.10059	3.11453	3.08912	3.09582	3.09049	3.07406	3.08039	3.06988	0
Prr18	2.42428	2.30052	2.36907	2.39479	2.35388	2.38655	2.37096	2.41833	2.3014	2.37897	2.41202	2.40954	2.3698	2.37522	2.3862	2.45901	2.39993	2.46394	0
T2	2.09286	2.03257	1.94128	1.85301	2.09001	1.93379	1.99934	2.06627	2.05403	1.89767	2.09946	2.08886	2.01676	1.9641	2.06153	2.11397	2.14868	2.1252	0
