id	AH063	AH064	AH065	AH066
LmxM.04.0940	2	11	18	15
LmxM.04.0950	1865	2677	2588	3303
LmxM.04.0960	69	104	104	174
LmxM.04.0970	13	90	111	164
LmxM.04.0975	2	2	1	3
LmxM.04.0980	5	28	24	59
LmxM.04.0990	287	266	587	963
LmxM.04.1000	21	28	33	48
LmxM.04.1010	8	24	27	40
LmxM.04.1030	210	173	187	706
LmxM.04.1040	72	190	178	295
LmxM.04.1050	3	4	9	3
LmxM.04.1060	32	101	92	199
LmxM.04.1070	3	10	18	34
LmxM.04.1080	23	80	82	66
LmxM.04.1090	56	114	119	199
LmxM.04.1100	5	10	15	47
LmxM.04.1110	39	148	143	245
LmxM.04.1120	19	77	70	90
LmxM.04.1130	26	22	51	53
LmxM.04.1140	79	160	163	272
LmxM.04.1150	373	15	14	21
LmxM.04.1160	123	269	367	385
LmxM.04.1165	84	249	202	250
LmxM.04.1170	1212	2112	2225	1912
LmxM.04.1180	45	238	257	324
LmxM.04.1190	9	19	24	31
LmxM.04.1200	207	36	66	66
LmxM.04.1210	45	450	240	430
LmxM.04.1220	1006	1857	2053	1767
LmxM.04.1230	2598	4856	4812	3835
LmxM.05.0010	79	172	169	131
LmxM.05.0020	22	111	154	349
LmxM.05.0030	233	1119	1225	989
LmxM.05.0040	1048	2151	2431	3075
LmxM.05.0050	112	442	587	536
LmxM.05.0060	134	71	96	117
LmxM.05.0070	691	1845	1752	1781
LmxM.05.0080	57	164	218	203
LmxM.05.0090	77	317	174	423
LmxM.05.0100	118	186	228	339
LmxM.05.0110	2112	4330	5574	5328
LmxM.05.0120	4	9	17	33
LmxM.05.0130	19	14	18	48
LmxM.05.0140	657	501	1516	533
LmxM.05.0150	23	50	76	138
LmxM.05.0160	63	163	183	199
LmxM.05.0170	1	30	28	51
LmxM.05.0180	764	824	1321	1499
LmxM.05.0190	155	691	1084	953
LmxM.05.0200	63	79	144	90
LmxM.05.0210	5	6	18	49
LmxM.05.0220	3	1	2	4
LmxM.05.0230	21	3	1	1
LmxM.05.0240	56	302	281	652
LmxM.05.0241	14	222	250	511
LmxM.05.0250	42	32	46	58
LmxM.05.0260	82	224	211	545
LmxM.05.0270	92	209	262	396
LmxM.05.0280	242	414	675	456
LmxM.05.0285	198	448	463	728
LmxM.05.0290	160	288	313	289
LmxM.05.0300	266	248	263	341
LmxM.05.0310	8	25	23	49
LmxM.05.0330	31	135	133	246
LmxM.05.0340	26	66	88	301
LmxM.05.0350	3846	7228	7274	9502
LmxM.05.0360	6	19	19	12
LmxM.05.0370	36	114	179	178
LmxM.05.0380	351	859	1060	2215
LmxM.05.0390	735	1705	1793	1759
LmxM.05.0400	282	718	927	934
LmxM.05.0410	3	41	55	74
LmxM.05.0420	116	1011	1315	1910
LmxM.05.0430	35	151	192	355
LmxM.05.0440	1	10	19	47
LmxM.05.0450	1973	3705	5648	3520
LmxM.05.0460	2017	2857	4549	3017
LmxM.05.0470	5	34	39	63
LmxM.05.0480	124	177	574	261
LmxM.05.0490	277	561	722	866
LmxM.05.0500	86	131	226	375
LmxM.05.0510	92	130	234	395
LmxM.05.0510b	89	128	248	383
LmxM.05.0520	10	88	136	209
LmxM.05.0530	129	312	248	449
LmxM.05.0540	66	103	110	148
LmxM.05.0550	22	107	134	328
LmxM.05.0560	1	5	2	8
LmxM.05.0570	18	41	43	103
LmxM.05.0580	62	168	120	229
LmxM.05.0590	493	1165	1231	1607
LmxM.05.0600	22	25	37	107
LmxM.05.0610	44	83	67	62
LmxM.05.0620	2	15	18	28
LmxM.05.0630	26	107	97	153
LmxM.05.0640	8	18	16	35
LmxM.05.0650	528	1561	1043	2082
LmxM.05.0660	67	144	166	183
LmxM.05.0670	12	27	36	80
LmxM.05.0680	9	8	12	25
LmxM.05.0690	73	749	768	1262
LmxM.05.0700	176	495	523	1010
LmxM.05.0710	899	1712	1983	1901
LmxM.05.0720	942	2521	2313	2975
LmxM.05.0730	77	395	426	758
LmxM.05.0740	30	82	73	98
LmxM.05.0750	471	1572	2605	2760
LmxM.05.0760	26	84	43	133
LmxM.05.0770	33	64	91	156
LmxM.05.0780	126	7	15	16
LmxM.05.0790	2	8	12	15
LmxM.05.0800	13	1	2	1
LmxM.05.0810	28	85	80	131
LmxM.05.0820	841	1592	3085	2235
LmxM.05.0830	628	1173	3416	2872
LmxM.05.0840	608	2515	1932	3514
LmxM.05.0850	75	303	305	309
LmxM.05.0860	341	1348	2554	4130
LmxM.05.0870	10	30	26	61
LmxM.05.0880	114	398	429	546
LmxM.05.0890	78	168	346	465
LmxM.05.0900	344	1111	540	1165
LmxM.05.0910	7	21	19	49
LmxM.05.0920	35	37	43	53
LmxM.05.0930	269	2740	2598	3549
LmxM.05.0940	1177	4317	4417	7420
LmxM.05.0950	52	152	148	176
LmxM.05.0960	144	123	195	286
LmxM.05.0970	332	375	582	420
LmxM.05.0980	62	599	577	689
LmxM.05.0990	3	14	10	11
LmxM.05.1000	371	748	787	1322
LmxM.05.1010	2	33	22	41
LmxM.05.1020	677	2206	2176	2590
LmxM.05.1030	348	21	52	19
LmxM.05.1040	482	538	882	552
LmxM.05.1050	179	672	867	713
LmxM.05.1060	69	135	145	119
LmxM.05.1061	1229	3274	3799	5399
LmxM.05.1070	1222	3294	3883	5290
LmxM.05.1070a	1248	3222	3958	5221
LmxM.05.1080	239	109	157	207
LmxM.05.1080a	218	102	120	220
LmxM.05.1090	780	1138	1280	1418
LmxM.05.1100	160	558	489	660
LmxM.05.1110	6281	14707	17565	17845
LmxM.05.1120	38	121	83	170
LmxM.05.1130	77	141	135	165
LmxM.05.1140	1172	1022	1136	1101
LmxM.05.1160	12	43	35	79
LmxM.05.1170	40	153	239	333
LmxM.05.1180	3	12	13	14
LmxM.05.1190	100	293	292	302
LmxM.05.1200	775	2711	3982	2698
LmxM.05.1210	1805	2596	2973	2349
LmxM.05.1215	8	99	27	96
LmxM.06.0010	26804	65845	37668	73551
LmxM.06.0020	390	897	703	771
LmxM.06.0030	542	945	1202	1386
LmxM.06.0040	116	266	350	414
LmxM.06.0050	545	1309	1049	2056
LmxM.06.0060	103	509	537	781
LmxM.06.0070	22	98	73	104
LmxM.06.0080	3	15	23	33
LmxM.06.0090	11	35	40	90
LmxM.06.0100	15	266	197	456
LmxM.06.0110	453	835	1272	1736
LmxM.06.0120	771	1113	1393	1236
LmxM.06.0130	641	1377	1268	2213
LmxM.06.0140	133	119	172	269
LmxM.06.0150	67	219	342	764
LmxM.06.0160	136	323	336	585
LmxM.06.0170	6	15	8	17
LmxM.06.0180	9	52	70	109
LmxM.06.0190	78	273	347	617
LmxM.06.0200	218	580	579	837
LmxM.06.0210	47	163	162	234
LmxM.06.0220	162	446	380	628
LmxM.06.0230	18	236	363	308
LmxM.06.0240	207	657	733	949
LmxM.06.0250	74	150	161	215
LmxM.06.0260	67	138	185	132
LmxM.06.0270	225	494	433	504
LmxM.06.0280	17	120	104	330
LmxM.06.0290	201	658	614	818
LmxM.06.0300	97	310	464	487
LmxM.06.0310	247	410	454	488
LmxM.06.0320	45	42	45	42
LmxM.06.0330	21	63	107	134
LmxM.06.0340	8	6	8	4
LmxM.06.0350	176	292	371	253
LmxM.06.0360	5659	11799	10618	9171
LmxM.06.0370	21377	31287	33651	25955
LmxM.06.0380	424	839	912	769
LmxM.06.0390	152	190	234	196
LmxM.06.0400	5	115	102	231
LmxM.06.0410	8	4	12	25
LmxM.06.0412	2	6	13	34
LmxM.06.0415	6091	16095	25134	33840
LmxM.06.0420	522	1482	1317	1361
LmxM.06.0430	8	11	32	62
LmxM.06.0440	31	88	127	272
LmxM.06.0450	3	4	9	19
LmxM.06.0460	57	123	131	152
LmxM.06.0470	182	412	506	652
LmxM.06.0480	4	35	32	48
LmxM.06.0490	10	8	12	10
LmxM.06.0510	6	34	22	47
LmxM.06.0520	11	107	57	163
LmxM.06.0530	1	8	3	2
LmxM.06.0540	8	506	533	688
LmxM.06.0550	41	95	94	172
LmxM.06.0560	3447	5477	6904	6584
LmxM.06.0570	769	1843	2401	2457
LmxM.06.0580	1157	4518	5446	5668
LmxM.06.0590	26	59	66	112
LmxM.06.0600	30	72	66	123
LmxM.06.0610	16	127	81	170
LmxM.06.0620	1	5	3	4
LmxM.06.0630	53	147	155	219
LmxM.06.0640	20	41	25	52
LmxM.06.0650	93	148	269	492
LmxM.06.0660	12	23	39	61
LmxM.06.0670	154	468	476	647
LmxM.06.0680	200	236	375	427
LmxM.06.0685	324	701	625	915
LmxM.06.0690	197	417	310	408
LmxM.06.0700	160	141	224	203
LmxM.06.0710	4	12	16	37
LmxM.06.0720	0	0	0	1
LmxM.06.0730	518	571	879	807
LmxM.06.0740	5	9	8	8
LmxM.06.0750	2	3	3	4
LmxM.06.0760	2	15	13	24
LmxM.06.0770	34	100	52	193
LmxM.06.0790	11	34	25	49
LmxM.06.0800	15	92	99	238
LmxM.06.0810	12	27	43	70
LmxM.06.0820	5	16	3	16
LmxM.06.0830	29	125	112	137
LmxM.06.0840	54	88	143	276
LmxM.06.0850	75	223	250	379
LmxM.06.0860	560	957	1253	1147
LmxM.06.0870	3	7	14	19
LmxM.06.0880	22	126	135	274
LmxM.06.0890	42	107	117	140
LmxM.06.0900	41	149	150	244
LmxM.06.0910	48	124	115	176
LmxM.06.0920	32	102	108	146
LmxM.06.0930	101	212	268	295
LmxM.06.0940	28	15	15	29
LmxM.06.0950	38	180	199	252
LmxM.06.0960	12	36	48	100
LmxM.06.0970	5	17	18	25
LmxM.06.0980	60	245	258	399
LmxM.06.0990	1	4	1	2
LmxM.06.0995	5	19	19	36
LmxM.06.1000	1	1	0	1
LmxM.06.1010	26	78	92	145
LmxM.06.1020	50	71	87	134
LmxM.06.1030	28	92	87	88
LmxM.06.1040	1433	4883	5746	9582
LmxM.06.1050	304	441	474	585
LmxM.06.1060	56	219	261	312
LmxM.06.1070	18	25	35	34
LmxM.06.1080	14	75	97	201
LmxM.06.1090	5	2	3	9
LmxM.06.1100	5	4	5	4
LmxM.06.1110	520	1111	1162	1667
LmxM.06.1120	43	53	60	64
LmxM.06.1130	13	88	98	151
LmxM.06.1140	3	13	7	21
LmxM.06.1150	0	12	5	21
LmxM.06.1160	3	6	0	1
