5.07e-09	8.62e-09	8.29	8.06
6.76e-10	1.29e-09	9.17	8.89
6.11e-09	1.03e-08	8.21	7.99
2.9e-08	4.41e-08	7.54	7.36
0	0	1000	1000
9.74e-07	1.21e-06	6.01	5.92
0	0	1000	1000
0	0	1000	1000
9.77e-08	1.38e-07	7.01	6.86
1.96e-10	3.98e-10	9.71	9.4
1.68e-06	2.02e-06	5.78	5.69
1.93e-05	2.11e-05	4.71	4.68
1.29e-06	1.57e-06	5.89	5.8
0	0	1000	1000
3.8e-06	4.4e-06	5.42	5.36
2.36e-06	2.79e-06	5.63	5.55
3.58e-24	1.33e-23	23.45	22.88
3.24e-09	5.65e-09	8.49	8.25
8.9e-09	1.46e-08	8.05	7.84
8.52e-05	8.92e-05	4.07	4.05
1.27e-07	1.78e-07	6.89	6.75
4.76e-06	5.46e-06	5.32	5.26
6.39e-09	1.07e-08	8.19	7.97
9.8e-05	0.000102	4.01	3.99
3.31e-10	6.55e-10	9.48	9.18
5.15e-05	5.46e-05	4.29	4.26
2.95e-05	3.18e-05	4.53	4.5
1.63e-08	2.58e-08	7.79	7.59
2.33e-07	3.13e-07	6.63	6.5
4.88e-08	7.2e-08	7.31	7.14
1.3e-22	4.69e-22	21.88	21.33
1.52e-07	2.1e-07	6.82	6.68
0	0	1000	1000
8.58e-06	9.63e-06	5.07	5.02
9.51e-31	3.84e-30	30.02	29.42
9.86e-174	4.7e-173	173.01	172.33
1.17e-11	2.67e-11	10.93	10.57
4.97e-17	1.54e-16	16.3	15.81
2.87e-05	3.1e-05	4.54	4.51
3.95e-06	4.57e-06	5.4	5.34
3.07e-05	3.3e-05	4.51	4.48
0.000397	0.000405	3.4	3.39
4.89e-57	2.22e-56	56.31	55.65
2.45e-13	6.31e-13	12.61	12.2
1.55e-13	4.04e-13	12.81	12.39
5.9e-14	1.58e-13	13.23	12.8
7.11e-12	1.66e-11	11.15	10.78
3.88e-15	1.11e-14	14.41	13.95
1.98e-06	2.37e-06	5.7	5.63
7.37e-07	9.27e-07	6.13	6.03
0.000297	0.000304	3.53	3.52
4.94e-07	6.37e-07	6.31	6.2
0.000122	0.000126	3.91	3.9
0	0	1000	1000
0.0401	0.0401	1.4	1.4
1.16e-07	1.63e-07	6.94	6.79
0.000232	0.000239	3.63	3.62
8.78e-05	9.19e-05	4.06	4.04
7.08e-08	1.02e-07	7.15	6.99
1.84e-06	2.21e-06	5.74	5.66
4.79e-32	1.96e-31	31.32	30.71
1.97e-06	2.35e-06	5.71	5.63
1.02e-06	1.26e-06	5.99	5.9
5.25e-11	1.13e-10	10.28	9.95
3.46e-06	4.04e-06	5.46	5.39
1.54e-10	3.16e-10	9.81	9.5
7.5e-15	2.11e-14	14.12	13.68
1.1e-18	3.61e-18	17.96	17.44
1.88e-16	5.68e-16	15.73	15.25
1.9e-07	2.59e-07	6.72	6.59
4.38e-07	5.68e-07	6.36	6.25
7.74e-13	1.93e-12	12.11	11.71
6.78e-05	7.13e-05	4.17	4.15
1.18e-24	4.4e-24	23.93	23.36
4.35e-07	5.64e-07	6.36	6.25
2.17e-05	2.35e-05	4.66	4.63
4.72e-10	9.17e-10	9.33	9.04
5.79e-05	6.11e-05	4.24	4.21
1.43e-05	1.58e-05	4.84	4.8
9.44e-14	2.5e-13	13.03	12.6
6.92e-13	1.73e-12	12.16	11.76
5.34e-06	6.1e-06	5.27	5.21
1.11e-06	1.37e-06	5.96	5.86
2.59e-17	8.09e-17	16.59	16.09
1.31e-13	3.45e-13	12.88	12.46
6.15e-49	2.75e-48	48.21	47.56
2.92e-05	3.15e-05	4.53	4.5
1.01e-11	2.33e-11	10.99	10.63
1.1e-32	4.55e-32	31.96	31.34
2e-12	4.85e-12	11.7	11.31
0	0	1000	1000
3.39e-11	7.43e-11	10.47	10.13
4.74e-30	1.9e-29	29.32	28.72
2.18e-18	7.09e-18	17.66	17.15
9.21e-08	1.31e-07	7.04	6.88
0	0	1000	1000
9.21e-09	1.5e-08	8.04	7.82
8.82e-13	2.19e-12	12.05	11.66
0.00136	0.00137	2.87	2.86
9.26e-15	2.59e-14	14.03	13.59
9.21e-08	1.31e-07	7.04	6.88
8.68e-08	1.24e-07	7.06	6.91
1.54e-09	2.8e-09	8.81	8.55
0	0	1000	1000
1.38e-05	1.53e-05	4.86	4.82
2.39e-05	2.58e-05	4.62	4.59
3.49e-10	6.88e-10	9.46	9.16
0	0	1000	1000
1.72e-15	4.99e-15	14.76	14.3
5.27e-07	6.77e-07	6.28	6.17
3.65e-08	5.5e-08	7.44	7.26
